match_id,bowling_team,bowler,overs,maidens,runs,wickets,economy,0s,4s,6s,no_of_wides,no_of_no_balls,match
1422137,Rajasthan Royals,R Parag,1.0,0,10,0,10.0,1,0,1,0,0,Rajasthan Royals vs Royal Challengers Bengaluru
1422137,Rajasthan Royals,TA Boult,3.0,0,30,0,10.0,4,2,2,1,0,Rajasthan Royals vs Royal Challengers Bengaluru
1422137,Rajasthan Royals,YS Chahal,4.0,0,34,2,8.5,8,1,2,1,0,Rajasthan Royals vs Royal Challengers Bengaluru
1422137,Royal Challengers Bengaluru,C Green,3.1,0,27,0,8.53,5,1,1,1,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
1422137,Royal Challengers Bengaluru,H Sharma,2.0,0,29,0,14.5,0,3,1,0,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
1422137,Royal Challengers Bengaluru,Mayank Dagar,2.0,0,34,0,17.0,4,5,2,0,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
1422137,Royal Challengers Bengaluru,Mohammed Siraj,4.0,0,35,1,8.75,5,3,1,1,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
1422137,Royal Challengers Bengaluru,RJW Topley,4.0,0,27,2,6.75,9,3,0,1,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
1422137,Royal Challengers Bengaluru,Yash Dayal,4.0,0,37,1,9.25,10,5,1,0,0,Royal Challengers Bengaluru vs Royal Challengers Bengaluru
1422138,Delhi Capitals,A Nortje,4.1,0,65,2,15.6,7,4,6,3,0,Delhi Capitals vs Mumbai Indians
1422138,Delhi Capitals,AR Patel,4.0,0,35,2,8.75,8,3,2,0,0,Delhi Capitals vs Mumbai Indians
1422138,Delhi Capitals,I Sharma,3.0,0,40,0,13.33,5,4,1,4,0,Delhi Capitals vs Mumbai Indians
1422138,Delhi Capitals,JA Richardson,4.0,0,40,0,10.0,8,2,3,1,0,Delhi Capitals vs Mumbai Indians
1422138,Delhi Capitals,KK Ahmed,4.0,0,39,1,9.75,8,3,2,0,0,Delhi Capitals vs Mumbai Indians
1422138,Delhi Capitals,Lalit Yadav,1.0,0,15,0,15.0,1,3,0,0,0,Delhi Capitals vs Mumbai Indians
1422138,Mumbai Indians,Akash Madhwal,4.1,0,45,0,10.8,9,7,1,0,0,Mumbai Indians vs Mumbai Indians
1422138,Mumbai Indians,G Coetzee,4.0,0,34,4,8.5,10,3,2,0,0,Mumbai Indians vs Mumbai Indians
1422138,Mumbai Indians,JJ Bumrah,4.0,0,22,2,5.5,11,3,0,0,0,Mumbai Indians vs Mumbai Indians
1422138,Mumbai Indians,Mohammad Nabi,2.0,0,17,0,8.5,1,0,1,0,0,Mumbai Indians vs Mumbai Indians
1422138,Mumbai Indians,PP Chawla,2.0,0,32,0,16.0,2,2,3,0,0,Mumbai Indians vs Mumbai Indians
1422138,Mumbai Indians,R Shepherd,4.0,0,54,1,13.5,4,3,4,1,0,Mumbai Indians vs Mumbai Indians
1422139,Gujarat Titans,DG Nalkande,2.0,0,21,2,10.5,2,0,2,0,0,Gujarat Titans vs Lucknow Super Giants
1422139,Gujarat Titans,MM Sharma,3.0,0,34,0,11.33,2,4,1,0,0,Gujarat Titans vs Lucknow Super Giants
1422139,Gujarat Titans,Noor Ahmad,4.0,0,22,0,5.5,7,1,0,0,0,Gujarat Titans vs Lucknow Super Giants
1422139,Gujarat Titans,Rashid Khan,4.0,0,28,1,7.0,4,0,1,0,0,Gujarat Titans vs Lucknow Super Giants
